bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text
200929,5904091,"다른치과는 치아썩은부분만 설명해주는데 비해
연치과 원장님은
 치아와 잇몸전반에 대해
잘알고계셔서 제 잇몸과치아 치조골
상태를 잘 설명해주셔서 좋았어요",5,1,,,2019.07.19,ahsl****,연세닥터연치과 예약,연세닥터연치과의원,,false,"다른치과는 치아썩은부분만 설명해주는데 비해
연치과 원장님은
 치아와 잇몸전반에 대해
잘알고계셔서 제 잇몸과치아 치조골
상태를 잘 설명해주셔서 좋았어요"
200929,4578917,엄청 친절하세요,5,1,,,2019.03.25,fkdh****,연세닥터연치과 예약,연세닥터연치과의원,,false,엄청 친절하세요
