bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList,completedDate,id,bookingItemName,bookingBusinessName,optionNameList/0,body/0/isHighlight,body/0/text
216639,7046027,친절한 상담과 최신설비에 매우 만족합니다. 저녁7시에 갔는데 늦게까지 모두 고생하셨어요.,5,1,,,2019.10.02,kita****,더바른이교정치과,더바른이치과교정과치과의원,교정상담,false,친절한 상담과 최신설비에 매우 만족합니다. 저녁7시에 갔는데 늦게까지 모두 고생하셨어요.
216639,4390966,친절하고 좋았습니다~~,5,1,,,2019.03.06,ckdw****,더바른이교정치과,더바른이치과교정과치과의원,교정상담,false,친절하고 좋았습니다~~
